w1,w2,w3,Q_value
0.45,0.25,0.3,0.0012490794984379105
0.45,0.1,0.45,-0.001784728483468084
0.25,0.5,0.25,-0.0017853808301981386
0.30000000000000004,0.25,0.45,-0.001785830080972428
0.05,0.7000000000000001,0.25,-0.001785901419387591
0.75,0.2,0.05,-0.0017896813649467668
0.0,0.9,0.1,-0.001790512227281192
0.05,0.5,0.45,-0.0017911331416448286
0.25,0.30000000000000004,0.45,-0.0017914133612920043
0.2,0.25,0.55,-0.0017916044296711962
0.1,0.75,0.15,-0.0017922108719478711
0.45,0.35000000000000003,0.2,-0.0017940416805876007
0.30000000000000004,0.45,0.25,-0.0017951989055874915
0.05,0.1,0.85,-0.001797282019265237
0.4,0.5,0.1,-0.0017974026039462433
0.0,0.45,0.55,-0.0017979522736291417
0.30000000000000004,0.15000000000000002,0.55,-0.001799488775219987
0.0,0.35000000000000003,0.65,-0.0018000900087521443
0.0,0.8500000000000001,0.15,-0.0018007455980018358
0.7000000000000001,0.0,0.3,-0.0018021043173248174
0.2,0.7000000000000001,0.1,-0.001803730687077875
0.30000000000000004,0.1,0.6,-0.0018041738064447223
0.75,0.05,0.2,-0.0018048072619142586
0.65,0.05,0.3,-0.001805308735182511
0.15000000000000002,0.1,0.75,-0.0018061403237389442
0.1,0.45,0.45,-0.0018064284275940506
0.15000000000000002,0.30000000000000004,0.55,-0.0018068046841875581
0.0,0.4,0.6,-0.0018068297933882813
0.5,0.5,0.0,-0.001807108052148669
0.15000000000000002,0.8,0.05,-0.0018077044269894055
0.8500000000000001,0.0,0.15,-0.0018078059150317166
0.5,0.2,0.3,-0.0018109958517103283
0.7000000000000001,0.05,0.25,-0.0018119396970895229
0.5,0.30000000000000004,0.2,-0.001812904550101406
0.1,0.15000000000000002,0.75,-0.0018134096373902974
0.5,0.1,0.4,-0.0018137862228805512
0.2,0.45,0.35,-0.0018145329113463888
0.2,0.65,0.15,-0.0018153239707717035
0.4,0.35000000000000003,0.25,-0.0018161449184373576
0.35000000000000003,0.25,0.4,-0.0018163423088914227
0.0,0.2,0.8,-0.0018164832028925324
0.15000000000000002,0.65,0.2,-0.0018167266865870752
0.15000000000000002,0.4,0.45,-0.0018201590669458052
0.35000000000000003,0.5,0.15,-0.001820604881314435
0.1,0.05,0.85,-0.0018218962899518966
0.8500000000000001,0.1,0.05,-0.0018227661351453287
0.05,0.6000000000000001,0.35,-0.0018228695649762888
0.5,0.15000000000000002,0.35,-0.0018247402121061094
0.15000000000000002,0.6000000000000001,0.25,-0.001825328539578851
0.8,0.1,0.1,-0.001825872893751552
0.35000000000000003,0.2,0.45,-0.0018266847051401397
0.30000000000000004,0.4,0.3,-0.0018289523634740727
0.15000000000000002,0.75,0.1,-0.0018295131908652581
0.15000000000000002,0.15000000000000002,0.7,-0.0018301880350672017
0.45,0.45,0.1,-0.0018309398365732275
0.6000000000000001,0.2,0.2,-0.0018310776286832413
0.25,0.65,0.1,-0.0018321763103300434
0.7000000000000001,0.25,0.05,-0.0018351618707760518
0.2,0.05,0.75,-0.0018355071431343417
0.05,0.9,0.05,-0.0018356960159973212
0.30000000000000004,0.55,0.15,-0.0018360939857765275
0.15000000000000002,0.05,0.8,-0.0018361233555018246
0.30000000000000004,0.6000000000000001,0.1,-0.0018375324601521007
0.8,0.05,0.15,-0.0018404116344577452
0.30000000000000004,0.05,0.65,-0.0018410317025728334
0.35000000000000003,0.30000000000000004,0.35,-0.0018425320913706743
0.05,0.25,0.7,-0.0018427782254599218
0.45,0.05,0.5,-0.0018429816348435222
0.6000000000000001,0.05,0.35,-0.0018434959065996345
0.30000000000000004,0.5,0.2,-0.0018455433902550538
0.9,0.05,0.05,-0.0018470488680550296
0.45,0.5,0.05,-0.0018481005629870223
0.35000000000000003,0.0,0.65,-0.001849366482276467
0.05,0.65,0.3,-0.0018504414776018465
0.25,0.4,0.35,-0.0018527936665082298
0.75,0.1,0.15,-0.0018581161195421914
0.9,0.0,0.1,-0.0018588332648632822
0.2,0.1,0.7,-0.0018618554320258868
0.1,0.55,0.35,-0.0018639359892317923
0.65,0.25,0.1,-0.0018650558043075615
0.55,0.35000000000000003,0.1,-0.0018654224887581989
0.05,0.9500000000000001,-0.0,-0.0018664903097689168
0.65,0.15000000000000002,0.2,-0.0018680771698591254
0.5,0.35000000000000003,0.15,-0.001869021318245054
0.25,0.45,0.3,-0.0018751321715432517
0.5,0.05,0.45,-0.0018757157471722863
0.25,0.05,0.7,-0.001876487298954298
0.4,0.4,0.2,-0.0018784666393438414
0.35000000000000003,0.6000000000000001,0.05,-0.0018796883819656549
0.2,0.6000000000000001,0.2,-0.0018799233583995682
